timestep,max_q_value,cumulative_reward
116,0.11383230239152908,
117,0.10488434880971909,
118,0.11287589371204376,
119,0.12085947394371033,
120,0.1411164551973343,
121,0.11572948098182678,
122,0.10940860211849213,
123,0.11403419077396393,
124,0.13016900420188904,
125,0.11000735312700272,
126,0.10592800378799438,
127,0.10140520334243774,
128,0.10053388774394989,
129,0.10175022482872009,
130,0.09975346177816391,
131,0.11020059883594513,-44.0
132,0.09650222957134247,
133,0.10935903340578079,
134,0.12796267867088318,
135,0.1334916353225708,
136,0.1445327252149582,
137,0.12955963611602783,
138,0.12120489776134491,
139,0.12903493642807007,
140,0.11920449882745743,
141,0.12745977938175201,
142,0.11561983823776245,
143,0.1011752337217331,
144,0.08239728212356567,
145,0.1030673235654831,
146,0.0840393453836441,
147,0.10570484399795532,
148,0.08692171424627304,
149,0.10635798424482346,
150,0.12041550874710083,
151,0.10736575722694397,
152,0.08886824548244476,
153,0.10804080963134766,
154,0.11849220097064972,
155,0.10853804647922516,
156,0.11724964529275894,
157,0.12323284149169922,
158,0.09091800451278687,-27.0
159,0.07806797325611115,
160,0.09332533180713654,
161,0.07755838334560394,
162,0.09348456561565399,
163,0.07883813977241516,
164,0.09522740542888641,
165,0.11435586214065552,
166,0.1209450513124466,
167,0.11234969645738602,
168,0.12024378031492233,
169,0.10885500907897949,
170,0.08904623985290527,
171,0.10820268094539642,
172,0.09028250724077225,
173,0.10604532063007355,
174,0.11664588004350662,
175,0.10539950430393219,
176,0.11499857157468796,
177,0.1219177395105362,
178,0.11045894771814346,
179,0.12040547281503677,
180,0.10803007334470749,
181,0.09043847769498825,-23.0
182,0.07343682646751404,
183,0.0884019285440445,
184,0.1124468445777893,
185,0.08303511887788773,
186,0.06886136531829834,
187,0.08183348923921585,
188,0.06833687424659729,
189,0.07784126698970795,
190,0.06594441831111908,
191,0.07677970826625824,
192,0.06565231084823608,
193,0.0543537475168705,
194,0.04829433187842369,
195,0.04319892078638077,
196,0.04971988871693611,
197,0.053723692893981934,
198,0.0655609518289566,
199,0.05462997406721115,
200,0.06503447890281677,
201,0.06497552990913391,-20.0
202,0.09296349436044693,
203,0.06477682292461395,
204,0.0925682932138443,
205,0.06259845942258835,
206,0.09032213687896729,
207,0.09756617248058319,
208,0.08840344846248627,
209,0.06001458317041397,
210,0.08670888096094131,
211,0.06099653244018555,
212,0.04375764727592468,
213,0.06150849908590317,
214,0.08645749092102051,
215,0.06292298436164856,
216,0.043157659471035004,
217,0.029017291963100433,
218,0.04429884999990463,
219,0.032002247869968414,
220,0.02924426645040512,
221,0.015327632427215576,
222,0.030262231826782227,
223,0.03990279138088226,
224,0.032169535756111145,
225,0.016401052474975586,
226,0.0310753732919693,
227,0.04213685542345047,
228,0.054204631596803665,
229,0.06540484726428986,
230,0.04895276576280594,
231,0.03651854395866394,
232,0.04725917801260948,
233,0.05503859743475914,
234,0.0766654759645462,
235,0.05072247236967087,
236,0.06531817466020584,
237,0.09015040099620819,
238,0.10287079960107803,
239,0.1035102978348732,
240,0.09711354225873947,
241,0.0985315591096878,
242,0.09931588172912598,
243,0.10045293718576431,
244,0.09547938406467438,
245,0.08738842606544495,
246,0.0906655341386795,
247,0.09271901100873947,
248,0.08970621228218079,
249,0.08896423876285553,
250,0.08921477198600769,
251,0.08729425072669983,
252,0.08403632044792175,
253,0.08232107013463974,
254,0.0826413556933403,
255,0.0418277233839035,-54.0
256,0.07089921832084656,
257,0.03833802044391632,
258,0.022780761122703552,
259,0.010357365012168884,
260,0.02486475557088852,
261,0.03796520084142685,
262,0.06772445142269135,
263,0.07485201954841614,
264,0.08443154394626617,
265,0.06940510123968124,
266,0.05898294597864151,
267,0.06795816123485565,
268,0.07688630372285843,
269,0.08033989369869232,
270,0.08048112690448761,
271,0.07894627749919891,
272,0.07761520147323608,
273,0.07129611074924469,
274,0.0317806601524353,-19.0
275,0.061944685876369476,
276,0.029801085591316223,
277,0.057995669543743134,
278,0.06709706038236618,
279,0.07514213025569916,
280,0.0634194165468216,
281,0.04929639771580696,
282,0.05947086215019226,
283,0.04802706092596054,
284,0.018330931663513184,
285,0.04624273255467415,
286,0.017087817192077637,
287,0.046579085290431976,
288,0.018509365618228912,
289,0.044680312275886536,
290,0.05413660779595375,
291,0.04323996603488922,
292,0.020398646593093872,
293,0.04184414818882942,
294,0.050399329513311386,
295,0.052640318870544434,
296,0.05443570762872696,
297,0.04504664987325668,
298,0.04453635215759277,
299,0.015246868133544922,-25.0
300,0.0007581561803817749,
301,0.013423502445220947,
302,-0.0011274516582489014,
303,0.013966068625450134,
304,-0.0006913468241691589,
305,-0.016768962144851685,
306,-0.0015878304839134216,
307,-0.015207812190055847,
308,-0.00044292956590652466,
309,0.011372022330760956,
310,0.039287857711315155,
311,0.054026611149311066,
312,0.0343589261174202,
313,0.048907674849033356,
314,0.053790971636772156,
315,0.05645644664764404,
316,0.049375295639038086,
317,0.04962091147899628,
318,0.04856133460998535,
