timestep,max_q_value,cumulative_reward
124,0.01683703064918518,
125,0.06615708768367767,
126,0.15037189424037933,
127,0.2589510381221771,
128,0.3418559432029724,
129,0.29197952151298523,
130,0.1809786856174469,
131,0.09096591174602509,
132,0.06099701672792435,
133,0.027820035815238953,
134,-0.06381484121084213,
135,-0.043930910527706146,
136,0.015251167118549347,
137,0.07117106020450592,
138,0.1277260035276413,
139,0.21824899315834045,
140,0.30061420798301697,
141,0.32354968786239624,
142,0.251386821269989,
143,0.15268796682357788,
144,0.11289524286985397,
145,0.0803660899400711,
146,0.05840710178017616,
147,-0.01242915540933609,
148,-0.07920528948307037,
149,-0.023330412805080414,
150,0.05077783763408661,
151,0.16685768961906433,
152,0.25114551186561584,
153,0.275439977645874,
154,0.2338554561138153,
155,0.14715614914894104,
156,0.0663415715098381,
157,0.01010449230670929,
158,-0.02347297966480255,
159,-0.08633586764335632,
160,-0.04863160848617554,
161,0.01694580167531967,
162,0.11282888799905777,
163,0.20479519665241241,
164,0.33578479290008545,
165,0.3438122272491455,
166,0.279016375541687,
167,0.13046196103096008,
168,0.05713888257741928,
169,0.04476270079612732,
170,-0.05860505998134613,
171,-0.15289179980754852,
172,-0.0615849643945694,
173,0.05184496194124222,
174,0.10170067846775055,
175,0.1333601474761963,
176,0.2298467755317688,
177,0.33078497648239136,
178,0.3493865430355072,
179,0.2538658678531647,
180,0.15153121948242188,
181,0.10402065515518188,
182,0.06583309918642044,
183,0.034835658967494965,
184,-0.07628560811281204,
185,-0.1362048238515854,
186,-0.07008662819862366,
187,-0.01664801687002182,
188,0.008045665919780731,
189,0.1644771695137024,
190,0.24004974961280823,
191,0.277688592672348,
192,0.19562271237373352,
193,0.08922141790390015,
194,0.02750605344772339,
195,-0.029656998813152313,
196,-0.07136642187833786,
197,-0.1402336061000824,
198,-0.09774008393287659,
199,-0.004560336470603943,
200,0.10859982669353485,
201,0.19023706018924713,
202,0.24661895632743835,
203,0.2828022241592407,
204,0.19338533282279968,
205,0.0891319215297699,
206,-0.03444007784128189,
207,-0.10376805812120438,
208,-0.11159577965736389,
209,-0.0866096168756485,
210,-0.06365075707435608,
211,0.01212725043296814,
212,0.08099623024463654,
213,0.12808842957019806,
214,0.250681608915329,
215,0.3187039792537689,
216,0.2938302457332611,
217,0.2118687629699707,
218,0.09674771130084991,
219,0.047268714755773544,
220,0.010200947523117065,
221,-0.10830271989107132,
222,-0.1817496120929718,
223,-0.12522144615650177,
224,-0.057150691747665405,
225,-0.011851228773593903,
226,0.04121457040309906,
227,0.1450694054365158,
228,0.16105693578720093,
229,0.17343269288539886,
230,0.1162024736404419,
231,0.04989507049322128,
232,-6.151199340820312e-05,
233,-0.03764943778514862,
234,-0.07663027942180634,
235,-0.12739618122577667,
236,-0.14327286183834076,
237,-0.08721373975276947,
238,0.012782104313373566,
239,0.1152903288602829,
240,0.2226521074771881,
241,0.2628302574157715,
242,0.20639701187610626,
243,0.07141481339931488,
244,-0.03513232618570328,
245,-0.10702896118164062,
246,-0.15967772901058197,
247,-0.16003181040287018,
248,-0.1433611363172531,
249,-0.05454371124505997,
250,0.0382096953690052,
251,0.11968134343624115,
252,0.23211389780044556,
253,0.2916649878025055,
254,0.2643856406211853,
255,0.14473161101341248,
256,0.02332986146211624,
257,-0.023750372231006622,
258,-0.1569456160068512,
259,-0.27728599309921265,
260,-0.2209966480731964,
261,-0.142383873462677,
262,0.005096592009067535,
263,0.026057474315166473,
264,0.04321003705263138,
265,0.13785825669765472,
266,0.16086678206920624,
267,0.14704635739326477,
268,0.11475838720798492,
269,0.061926379799842834,
270,-0.044399693608284,
271,-0.07568912208080292,
272,-0.13930854201316833,
273,-0.19867593050003052,
274,-0.1898365020751953,
275,-0.1361793875694275,
276,-0.015720419585704803,
277,0.08136576414108276,
278,0.13349983096122742,
279,0.18666064739227295,
280,0.14073047041893005,
281,0.006145179271697998,
282,-0.0918601006269455,
283,-0.17158961296081543,
284,-0.16170409321784973,
285,-0.11329770088195801,
