timestep,value_estimate,cumulative_reward
148,0.041708409786224365,
149,0.00495552271604538,
150,-0.030882976949214935,
151,-0.05684836208820343,
152,-0.06549716740846634,
153,-0.07754426449537277,
154,-0.08765307068824768,
155,-0.08685855567455292,
156,-0.08906777203083038,
157,-0.08171413838863373,
158,-0.06752973049879074,
159,-0.05043162778019905,
160,-0.04182871803641319,
161,-0.0178690068423748,
162,-0.006337389349937439,
163,0.03258884698152542,
164,0.056059129536151886,
165,0.10295772552490234,
166,0.14914840459823608,
167,0.19187617301940918,
168,0.22164171934127808,
169,0.2517075836658478,
170,0.24946555495262146,
171,0.24819669127464294,
172,0.252811074256897,
173,0.2448798418045044,
174,0.22891171276569366,
175,0.20770028233528137,
176,0.1807452142238617,
177,0.1519758403301239,
178,0.12715467810630798,
179,0.10519832372665405,
180,0.07745939493179321,
181,0.045933693647384644,
182,0.02663320302963257,
183,0.0064199864864349365,
184,-0.022939346730709076,
185,-0.04789797216653824,
186,-0.048122651875019073,
187,-0.040862880647182465,
188,-0.024283364415168762,
189,-0.015979215502738953,
190,-0.015732482075691223,
191,-0.01889060065150261,
192,-0.001318134367465973,
193,0.04514911025762558,
194,0.07519008964300156,
195,0.10629738867282867,
196,0.15168209373950958,
197,0.16520392894744873,
198,0.19898346066474915,
199,0.22144661843776703,
200,-0.25679588317871094,-1660.211033
201,-0.3263213336467743,
202,-0.3669479489326477,
203,-0.380386084318161,
204,-0.38149702548980713,
205,-0.37113815546035767,
206,-0.3459753394126892,
207,-0.30475282669067383,
208,-0.25756603479385376,
209,-0.20563755929470062,
210,-0.1614927500486374,
211,-0.1247483491897583,
212,-0.09736467897891998,
213,-0.08361019194126129,
214,-0.07866323739290237,
215,-0.07714357227087021,
216,-0.07096456736326218,
217,-0.05550321191549301,
218,-0.01834806799888611,
219,0.006712146103382111,
220,0.06893202662467957,
221,0.10299207270145416,
222,0.1932818740606308,
223,0.2543770968914032,
224,0.29565632343292236,
225,0.32311320304870605,
226,0.3379119038581848,
227,0.3424516022205353,
228,0.34111425280570984,
229,0.3350532352924347,
230,0.3252655267715454,
231,0.30491316318511963,
232,0.2787899672985077,
233,0.23899675905704498,
234,0.19739723205566406,
235,0.158116415143013,
236,0.12564876675605774,
237,0.09828339517116547,
238,0.07589559257030487,
239,0.053829729557037354,
240,0.021331533789634705,
241,-0.029340066015720367,
242,-0.12067417800426483,
243,-0.2464132010936737,
244,-0.33534178137779236,
245,-0.37402933835983276,
246,-0.3862786293029785,
247,-0.37020838260650635,
248,-0.34895557165145874,
249,-0.3144850730895996,
250,-0.2743513882160187,
251,-0.22296956181526184,
252,-0.1756613403558731,
253,-0.13192786276340485,
254,-0.09930643439292908,
255,-0.08338403701782227,
256,-0.07843102514743805,
257,-0.07759787142276764,
258,-0.07471669465303421,
259,-0.06746432185173035,
260,-0.04983505606651306,
261,-0.018096476793289185,
262,0.02331826090812683,
